player,team,TotalGames
Daniel Oturu,TOR,3
Daniel Theis,BOS,21
Daniel Theis,HOU,26
Danilo Gallinari,ATL,68
Danny Green,PHI,62
Danuel House Jr.,HOU,16
Danuel House Jr.,NYK,1
Danuel House Jr.,UTA,25
Darius Bazley,OKC,69
Darius Garland,CLE,70
Darren Collison,LAL,3
David Duke Jr.,BKN,21
David Johnson,TOR,1
David Nwaba,HOU,46
Davion Mitchell,SAC,75
Davis Bertans,DAL,22
Davis Bertans,WAS,34
Davon Reed,DEN,45
Day'Ron Sharpe,BKN,30
De'Aaron Fox,SAC,59
De'Andre Hunter,ATL,55
De'Anthony Melton,MEM,73
DeAndre Jordan,LAL,32
DeAndre Jordan,PHI,16
DeAndre' Bembry,BKN,46
DeAndre' Bembry,MIL,8
DeMar DeRozan,CHI,76
DeMarcus Cousins,DEN,31
DeMarcus Cousins,MIL,17
Dean Wade,CLE,49
Deandre Ayton,PHX,58
Deividas Sirvydis,DET,3
Dejounte Murray,SAS,69
Delon Wright,ATL,79
Deni Avdija,WAS,82
Dennis Schroder,BOS,49
Dennis Schroder,HOU,15
Dennis Smith Jr.,POR,36
Denzel Valentine,CLE,18
Denzel Valentine,UTA,2
Derrick Favors,OKC,39
Derrick Jones Jr.,CHI,50
Derrick Rose,NYK,26
Derrick Walton Jr.,DET,3
Derrick White,BOS,26
Derrick White,SAS,49
Desmond Bane,MEM,76
Devin Booker,PHX,68
Devin Cannady,ORL,5
Devin Vassell,SAS,72
Devon Dotson,CHI,11
Devontae Cacok,SAS,15
Devonte' Graham,NOP,78
Dewayne Dedmon,MIA,67
Didi Louzada,NOP,1
Didi Louzada,POR,7
Dillon Brooks,MEM,32
Domantas Sabonis,IND,47
Domantas Sabonis,SAC,15
Donovan Mitchell,UTA,67
Donte DiVincenzo,MIL,17
Donte DiVincenzo,SAC,25
Dorian Finney-Smith,DAL,80
Doug McDermott,SAS,51
Draymond Green,GSW,46
Drew Eubanks,POR,22
Drew Eubanks,SAS,48
Duane Washington Jr.,IND,46
Duncan Robinson,MIA,79
Dwight Howard,LAL,60
Dwight Powell,DAL,82
Dylan Windler,CLE,40
Ed Davis,CLE,22
Elfrid Payton,PHX,47
Elijah Hughes,POR,22
Elijah Hughes,UTA,11
Emanuel Terry,PHX,3
Emmanuel Mudiay,SAC,2
Enes Freedom,BOS,25
Enes Kanter,BOS,10
Eric Bledsoe,LAC,54
Eric Gordon,HOU,57
Eric Paschall,UTA,58
Eugene Omoruyi,DAL,4
Evan Fournier,NYK,80
Evan Mobley,CLE,71
Facundo Campazzo,DEN,58
Feron Hunt,NYK,2
Frank Jackson,DET,53
Frank Kaminsky,PHX,9
Frank Ntilikina,DAL,57
Franz Wagner,ORL,79
Fred VanVleet,TOR,65
Freddie Gillespie,ORL,9
Furkan Korkmaz,PHI,66
Gabe Vincent,MIA,64
Gabe York,IND,2
Gabriel Deck,OKC,6
Gabriel Lundberg,PHX,4
Garrett Temple,NOP,59
Garrison Mathews,HOU,65
Gary Clark,NOP,35
Gary Harris,ORL,61
Gary Payton II,GSW,70
Gary Trent Jr.,TOR,70
George Hill,MIL,54
George King,DAL,4
Georges Niang,PHI,76
Georgios Kalaitzakis,MIL,5
Georgios Kalaitzakis,OKC,4
Giannis Antetokounmpo,MIL,67
Goga Bitadze,IND,48
Goran Dragic,BKN,17
Goran Dragic,TOR,5
Gordon Hayward,CHA,49
Gorgui Dieng,ATL,45
Grant Williams,BOS,77
Grayson Allen,MIL,66
Greg Brown III,POR,45
Greg Monroe,MIL,5
Greg Monroe,MIN,4
Greg Monroe,UTA,3
Greg Monroe,WAS,2
Hamidou Diallo,DET,58
Harrison Barnes,SAC,77
Hassan Whiteside,UTA,65
Hassani Gravett,ORL,8
Haywood Highsmith,MIA,18
Herbert Jones,NOP,79
Ignas Brazdeikis,ORL,39
Immanuel Quickley,NYK,78
Isaac Bonga,TOR,12
Isaac Okoro,CLE,69
Isaiah Hartenstein,LAC,70
Isaiah Jackson,IND,35
Isaiah Joe,PHI,52
Isaiah Livers,DET,19
Isaiah Roby,OKC,45
Isaiah Stewart,DET,71
Isaiah Thomas,CHA,18
Isaiah Thomas,DAL,1
Isaiah Thomas,LAL,4
Isaiah Todd,WAS,11
Ish Smith,CHA,36
Ish Smith,WAS,28
Ish Wainright,PHX,39
Ivica Zubac,LAC,78
JT Thor,CHA,28
Ja Morant,MEM,57
JaMychal Green,DEN,67
JaQuori McLaughlin,DAL,3
JaVale McGee,PHX,74
Jabari Parker,BOS,11
Jaden McDaniels,MIN,71
Jaden Springer,PHI,1
Jae Crowder,PHX,67
Jae'Sean Tate,HOU,78
Jahmi'us Ramsey,SAC,17
Jake Layman,MIN,28
Jakob Poeltl,SAS,69
Jalen Brunson,DAL,79
Jalen Green,HOU,67
Jalen Johnson,ATL,17
Jalen McDaniels,CHA,54
Jalen Smith,IND,22
Jalen Smith,PHX,27
Jalen Suggs,ORL,48
James Bouknight,CHA,28
James Ennis III,BKN,2
James Ennis III,DEN,3
James Ennis III,LAC,2
James Harden,BKN,44
James Harden,PHI,21
James Johnson,BKN,62
Jamorko Pickett,DET,12
Jared Butler,UTA,40
Jared Harper,NOP,5
Jaren Jackson Jr.,MEM,78
Jarred Vanderbilt,MIN,75
Jarrett Allen,CLE,57
Jarrett Culver,MEM,35
Jarron Cumberland,POR,2
Javin DeLaurier,MIL,1
Javonte Green,CHI,65
Javonte Smart,MIA,2
Javonte Smart,MIL,13
Jaxson Hayes,NOP,72
Jay Huff,LAL,4
Jay Scrubb,LAC,17
Jaylen Brown,BOS,66
Jaylen Hoard,OKC,7
Jaylen Morris,SAS,3
Jaylen Nowell,MIN,62
Jaysean Paige,DET,1
Jayson Tatum,BOS,76
Jeff Dowtin,GSW,4
Jeff Dowtin,MIL,1
Jeff Dowtin,ORL,4
Jeff Green,DEN,75
Jemerrio Jones,LAL,2
Jerami Grant,DET,47
Jeremiah Robinson-Earl,OKC,49
Jeremy Lamb,IND,39
Jeremy Lamb,SAC,17
Jericho Sims,NYK,35
Jevon Carter,BKN,45
Jevon Carter,MIL,20
Jimmy Butler,MIA,57
Jock Landale,SAS,50
Joe Harris,BKN,14
Joe Ingles,UTA,45
Joe Johnson,BOS,1
Joe Wieskamp,SAS,25
Joel Ayayi,WAS,4
Joel Embiid,PHI,68
John Collins,ATL,54
John Konchar,MEM,71
Jon Teske,MEM,3
Jonas Valanciunas,NOP,76
Jonathan Kuminga,GSW,68
Jordan Bell,CHI,1
Jordan Clarkson,UTA,79
Jordan Goodwin,WAS,2
Jordan McLaughlin,MIN,61
Jordan Nwora,MIL,61
Jordan Poole,GSW,76
Jordan Schakel,WAS,4
Jose Alvarado,NOP,55
Josh Christopher,HOU,73
Josh Giddey,OKC,54
Josh Green,DAL,66
Josh Hart,NOP,41
Josh Hart,POR,13
Josh Jackson,DET,39
Josh Jackson,SAC,12
Josh Okogie,MIN,45
Josh Richardson,BOS,44
Josh Richardson,SAS,22
Joshua Primo,SAS,48
Jrue Holiday,MIL,67
Juan Toscano-Anderson,GSW,70
Juancho Hernangomez,BOS,15
Juancho Hernangomez,SAS,5
Juancho Hernangomez,UTA,15
Julius Randle,NYK,72
Justin Anderson,CLE,3
Justin Anderson,IND,13
Justin Champagnie,TOR,34
Justin Holiday,IND,49
Justin Holiday,SAC,25
Justin Jackson,BOS,1
Justin Jackson,PHX,5
Justin Robinson,DET,5
Justin Robinson,MIL,16
Justin Robinson,SAC,3
Justise Winslow,LAC,35
Justise Winslow,POR,11
Jusuf Nurkic,POR,56
Juwan Morgan,TOR,1
KZ Okpala,MIA,17
Kai Jones,CHA,17
Karl-Anthony Towns,MIN,75
Keifer Sykes,IND,31
Keita Bates-Diop,SAS,60
Kelan Martin,BOS,3
Kelan Martin,IND,27
Keldon Johnson,SAS,76
Keljin Blevins,POR,31
Kelly Olynyk,DET,40
Kelly Oubre Jr.,CHA,77
Kemba Walker,NYK,37
Kenrich Williams,OKC,49
Kent Bazemore,LAL,37
Kentavious Caldwell-Pope,WAS,77
Kenyon Martin Jr.,HOU,79
Keon Johnson,LAC,14
Keon Johnson,POR,22
Kessler Edwards,BKN,48
Kevin Durant,BKN,56
Kevin Huerter,ATL,76
Kevin Knox II,ATL,18
Kevin Knox II,NYK,12
Kevin Love,CLE,76
Kevin Pangos,CLE,19
Kevin Porter Jr.,HOU,61
Kevon Looney,GSW,82
Khem Birch,TOR,55
Khris Middleton,MIL,66
Killian Hayes,DET,66
Killian Tillie,MEM,34
Kira Lewis Jr.,NOP,24
Klay Thompson,GSW,32
Kris Dunn,POR,14
Kristaps Porzingis,DAL,34
Kristaps Porzingis,WAS,17
Kyle Anderson,MEM,69
Kyle Guy,MIA,17
Kyle Kuzma,WAS,66
Kyle Lowry,MIA,63
Kyrie Irving,BKN,30
LaMarcus Aldridge,BKN,47
LaMelo Ball,CHA,76
Lamar Stevens,CLE,64
Lance Stephenson,ATL,6
Lance Stephenson,IND,40
Landry Shamet,PHX,69
Langston Galloway,BKN,4
Langston Galloway,MIL,3
Larry Nance Jr.,NOP,11
Larry Nance Jr.,POR,37
Lauri Markkanen,CLE,63
LeBron James,LAL,56
Leandro Bolmaro,MIN,30
Lindell Wigginton,MIL,15
Lindy Waters III,OKC,25
Lonnie Walker IV,SAS,71
Lonzo Ball,CHI,35
Lou Williams,ATL,56
Louis King,SAC,10
Luguentz Dort,OKC,51
Luka Doncic,DAL,65
Luka Garza,DET,32
Luke Kennard,LAC,70
Luke Kornet,BOS,10
Luke Kornet,CLE,1
Luke Kornet,MIL,1
MJ Walker,PHX,2
Mac McClung,CHI,1
Mac McClung,LAL,1
Malachi Flynn,TOR,40
Malcolm Brogdon,IND,36
Malcolm Hill,ATL,2
Malcolm Hill,CHI,16
Malik Beasley,MIN,80
Malik Fitts,BOS,7
Malik Fitts,UTA,5
Malik Monk,LAL,76
Malik Newman,CLE,1
Mamadi Diakite,OKC,13
Marcus Garrett,MIA,10
Marcus Morris Sr.,LAC,56
Marcus Smart,BOS,71
Markelle Fultz,ORL,18
Markieff Morris,MIA,17
Marko Simonovic,CHI,8
Markus Howard,DEN,25
Marquese Chriss,DAL,33
Marvin Bagley III,DET,18
Marvin Bagley III,SAC,30
Mason Jones,LAL,4
Mason Plumlee,CHA,74
Matisse Thybulle,PHI,66
Matt Mooney,NYK,1
Matt Ryan,BOS,1
Matt Thomas,CHI,38
Maurice Harkless,SAC,47
Max Strus,MIA,67
Maxi Kleber,DAL,59
McKinley Wright IV,MIN,2
Melvin Frazier Jr.,OKC,3
Micah Potter,DET,3
Michael Porter Jr.,DEN,9
Mikal Bridges,PHX,82
Mike Conley,UTA,72
Mike Muscala,OKC,43
Miles Bridges,CHA,81
Miles McBride,NYK,35
Mitchell Robinson,NYK,72
Miye Oni,UTA,13
Mo Bamba,ORL,71
Monte Morris,DEN,75
Montrezl Harrell,CHA,26
Montrezl Harrell,WAS,46
Moritz Wagner,ORL,62
Moses Brown,CLE,14
Moses Brown,DAL,24
Moses Moody,GSW,45
Moses Wright,DAL,3
Mychal Mulder,MIA,2
Mychal Mulder,ORL,15
Myles Powell,PHI,10
Myles Turner,IND,42
Naji Marshall,NOP,54
Nassir Little,POR,42
Nate Hinton,IND,1
Nathan Knight,MIN,34
Naz Reid,MIN,78
Neemias Queta,SAC,13
Nemanja Bjelica,GSW,71
Nerlens Noel,NYK,25
Nic Claxton,BKN,48
Nick Richards,CHA,45
Nickeil Alexander-Walker,NOP,50
Nickeil Alexander-Walker,UTA,14
Nicolas Batum,LAC,61
Nik Stauskas,BOS,5
Nik Stauskas,MIA,2
Nikola Jokic,DEN,74
Nikola Vucevic,CHI,73
Norman Powell,LAC,7
Norman Powell,POR,40
Norvel Pelle,UTA,3
OG Anunoby,TOR,48
Obi Toppin,NYK,72
Olivier Sarr,OKC,22
Omer Yurtseven,MIA,52
Onyeka Okongwu,ATL,50
Oshae Brissett,IND,67
Otto Porter Jr.,GSW,63
P.J. Dozier,DEN,18
P.J. Tucker,MIA,71
P.J. Washington,CHA,66
Paris Bass,PHX,2
Pascal Siakam,TOR,68
Pat Connaughton,MIL,65
Patrick Beverley,MIN,59
Patrick Williams,CHI,17
Patty Mills,BKN,82
Paul George,LAC,32
Paul Millsap,BKN,24
Paul Millsap,PHI,9
Paul Reed,PHI,32
Paul Watson,OKC,9
Payton Pritchard,BOS,69
Petr Cornelie,DEN,11
Precious Achiuwa,TOR,73
Quentin Grimes,NYK,44
Quinndary Weatherspoon,GSW,10
R.J. Hampton,ORL,64
RJ Barrett,NYK,70
RJ Nembhard Jr.,CLE,12
Rajon Rondo,CLE,23
Rajon Rondo,LAL,18
Raul Neto,WAS,68
Rayjon Tucker,DEN,3
Rayjon Tucker,MIL,1
Reggie Bullock,DAL,68
Reggie Jackson,LAC,77
Reggie Perry,IND,1
Reggie Perry,POR,9
Richaun Holmes,SAC,45
Ricky Rubio,CLE,34
Rob Edwards,OKC,2
Robert Covington,LAC,25
Robert Covington,POR,48
Robert Williams III,BOS,61
Robert Woodard II,SAC,11
Robin Lopez,ORL,36
Rodney Hood,LAC,12
Rodney Hood,MIL,39
Rodney McGruder,DET,50
Romeo Langford,BOS,44
Romeo Langford,SAS,4
Royce O'Neale,UTA,77
Rudy Gay,UTA,55
Rudy Gobert,UTA,66
Rui Hachimura,WAS,42
Russell Westbrook,LAL,78
Ryan Arcidiacono,NYK,7
Saben Lee,DET,36
Saddiq Bey,DET,82
Sam Hauser,BOS,24
Sam Merrill,MEM,6
Sandro Mamukelashvili,MIL,36
Santi Aldama,MEM,32
Scottie Barnes,TOR,74
Scottie Lewis,CHA,1
Scotty Hopson,OKC,1
Sekou Doumbouya,LAL,2
Semi Ojeleye,LAC,9
Semi Ojeleye,MIL,20
Serge Ibaka,LAC,35
Serge Ibaka,MIL,19
Seth Curry,BKN,20
Seth Curry,PHI,45
Shai Gilgeous-Alexander,OKC,56
Shake Milton,PHI,55
Shaq Buchanan,MEM,2
Shaquille Harrison,BKN,1
Sharife Cooper,ATL,8
Skylar Mays,ATL,23
Solomon Hill,ATL,12
Spencer Dinwiddie,DAL,23
Spencer Dinwiddie,WAS,44
Stanley Johnson,LAL,48
Stephen Curry,GSW,64
Sterling Brown,DAL,49
Steven Adams,MEM,76
Svi Mykhailiuk,TOR,54
T.J. McConnell,IND,27
Tacko Fall,CLE,9
Taj Gibson,NYK,52
Talen Horton-Tucker,LAL,60
Taurean Prince,MIN,69
Terance Mann,LAC,83
Terence Davis,SAC,30
Terrence Ross,ORL,63
Terry Rozier,CHA,74
Terry Taylor,IND,31
Thaddeus Young,SAS,26
Thaddeus Young,TOR,26
Thanasis Antetokounmpo,MIL,39
Theo Maledon,OKC,51
Theo Pinson,DAL,15
Thomas Bryant,WAS,27
Tim Frazier,CLE,2
Tim Frazier,ORL,10
Tim Hardaway Jr.,DAL,42
Timothe Luwawu-Cabarrot,ATL,47
Tobias Harris,PHI,73
Tomas Satoransky,NOP,32
Tomas Satoransky,SAS,1
Tomas Satoransky,WAS,22
Tony Bradley,CHI,53
Tony Snell,NOP,16
Tony Snell,POR,36
Torrey Craig,IND,51
Torrey Craig,PHX,27
Trae Young,ATL,78
Trayvon Palmer,DET,1
Tre Jones,SAS,69
Tre Mann,OKC,60
Tremont Waters,TOR,2
Tremont Waters,WAS,1
Trendon Watford,POR,48
Trent Forrest,UTA,60
Trevelin Queen,HOU,10
Trevon Scott,CLE,1
Trevor Ariza,LAL,24
Trey Burke,DAL,41
Trey Lyles,DET,51
Trey Lyles,SAC,24
Trey Murphy III,NOP,63
Tristan Thompson,CHI,23
Tristan Thompson,IND,4
Tristan Thompson,SAC,30
Troy Brown Jr.,CHI,65
Ty Jerome,OKC,48
Tyler Cook,CHI,20
Tyler Herro,MIA,66
Tyler Johnson,PHI,3
Tyler Johnson,SAS,3
Tyrell Terry,MEM,1
Tyrese Haliburton,IND,26
Tyrese Haliburton,SAC,51
Tyrese Maxey,PHI,75
Tyrone Wallace,NOP,6
Tyus Jones,MEM,73
Udoka Azubuike,UTA,15
Udonis Haslem,MIA,13
Usman Garuba,HOU,23
Vernon Carey Jr.,CHA,4
Vernon Carey Jr.,WAS,2
Victor Oladipo,MIA,8
Vit Krejci,OKC,30
Vlatko Cancar,DEN,15
Wayne Ellington,LAL,43
Wayne Selden,NYK,2
Wendell Carter Jr.,ORL,62
Wenyen Gabriel,BKN,1
Wenyen Gabriel,LAC,6
Wenyen Gabriel,LAL,19
Wes Iwundu,ATL,3
Wesley Matthews,MIL,49
Will Barton,DEN,71
Willie Cauley-Stein,DAL,18
Willie Cauley-Stein,PHI,2
Willy Hernangomez,NOP,49
Xavier Moon,LAC,8
Xavier Sneed,MEM,2
Xavier Sneed,UTA,5
Xavier Tillman,MEM,42
Xavier Tillman Sr.,MEM,9
Yuta Watanabe,TOR,36
Yves Pons,MEM,9
Zach Collins,SAS,29
Zach LaVine,CHI,67
Zavier Simpson,OKC,4
Zeke Nnaji,DEN,41
Ziaire Williams,MEM,62
Zylan Cheatham,UTA,1
