player,team,TotalGames
Matt Thomas,UTA,1
Max Strus,MIA,1
Maxi Kleber,DAL,7
Michael Porter Jr.,DEN,6
Mikal Bridges,PHX,6
Mike Conley,UTA,5
Mike James,BKN,2
Mike Scott,PHI,4
Miye Oni,UTA,2
Monte Morris,DEN,6
Montrezl Harrell,LAL,4
Nassir Little,POR,2
Nathan Knight,ATL,2
Nemanja Bjelica,MIA,2
Nerlens Noel,NYK,5
Nicolas Batum,LAC,7
Nicolas Claxton,BKN,5
Nicolo Melli,DAL,3
Nikola Jokic,DEN,6
Norman Powell,POR,6
Obi Toppin,NYK,5
Onyeka Okongwu,ATL,10
P.J. Tucker,MIL,4
Pat Connaughton,MIL,4
Patrick Beverley,LAC,4
Paul George,LAC,7
Paul Millsap,DEN,6
Paul Reed,PHI,3
Payton Pritchard,BOS,5
Precious Achiuwa,MIA,3
RJ Barrett,NYK,5
Rajon Rondo,LAC,7
Raul Neto,WAS,5
Rayjon Tucker,PHI,1
Reggie Bullock,NYK,5
Reggie Jackson,LAC,7
Reggie Perry,BKN,1
Robert Covington,POR,6
Robert Williams III,BOS,3
Robin Lopez,WAS,5
Romeo Langford,BOS,4
Rondae Hollis-Jefferson,POR,5
Royce O'Neale,UTA,5
Rudy Gobert,UTA,5
Rui Hachimura,WAS,5
Russell Westbrook,WAS,5
Sam Merrill,MIL,2
Semi Ojeleye,BOS,2
Serge Ibaka,LAC,2
Seth Curry,PHI,10
Shake Milton,PHI,10
Shaquille Harrison,DEN,4
Skylar Mays,ATL,1
Solomon Hill,ATL,7
T.J. Leaf,POR,2
Tacko Fall,BOS,1
Taj Gibson,NYK,5
Talen Horton-Tucker,LAL,4
Terance Mann,LAC,6
Tim Hardaway Jr.,DAL,7
Timothe Luwawu-Cabarrot,BKN,1
Tobias Harris,PHI,10
Tony Snell,ATL,7
Torrey Craig,PHX,6
Trae Young,ATL,10
Tremont Waters,BOS,3
Trent Forrest,UTA,1
Trevor Ariza,MIA,4
Trey Burke,DAL,2
Tristan Thompson,BOS,5
Tyler Herro,MIA,4
Tyler Johnson,BKN,4
Tyrese Maxey,PHI,10
Tyus Jones,MEM,5
Vlatko Cancar,DEN,1
Wesley Matthews,LAL,6
Willie Cauley-Stein,DAL,6
Xavier Tillman,MEM,3
Yogi Ferrell,LAC,1
Zeke Nnaji,DEN,2
