player,team,TotalGames
Chris Paul,PHX,38
Chris Silva,DAL,1
Christian Braun,DEN,51
Christian Koloko,TOR,44
Christian Wood,DAL,48
Chuma Okeke,ORL,19
Clint Capela,ATL,43
Coby White,CHI,50
Cody Martin,CHA,7
Cole Anthony,ORL,39
Cole Swider,LAL,6
Collin Sexton,UTA,47
Corey Kispert,WAS,49
Cory Joseph,DET,40
D'Angelo Russell,LAL,3
D'Angelo Russell,MIN,54
Daishen Nix,HOU,40
Dalano Banton,TOR,25
Dalen Terry,CHI,20
Damian Jones,LAL,18
Damian Jones,UTA,1
Damian Lillard,POR,46
Damion Lee,PHX,59
Daniel Gafford,WAS,55
Daniel Theis,IND,6
Danny Green,CLE,1
Danny Green,MEM,3
Danuel House Jr.,PHI,37
Dario Saric,OKC,1
Dario Saric,PHX,37
Darius Bazley,OKC,36
Darius Days,HOU,3
Darius Garland,CLE,51
David Duke Jr.,BKN,15
David Roddy,MEM,46
Davion Mitchell,SAC,56
Davis Bertans,DAL,33
Davon Reed,DEN,33
Davon Reed,LAL,2
Day'Ron Sharpe,BKN,31
De'Aaron Fox,SAC,52
De'Andre Hunter,ATL,49
De'Anthony Melton,PHI,54
DeAndre Jordan,DEN,34
DeMar DeRozan,CHI,53
Dean Wade,CLE,31
Deandre Ayton,PHX,50
Dejounte Murray,ATL,54
Delon Wright,WAS,28
Deni Avdija,WAS,55
Dennis Schroder,LAL,45
Dennis Smith Jr.,CHA,38
Deonte Burton,SAC,2
Dereon Seabron,NOP,3
Derrick Jones Jr.,CHI,46
Derrick Rose,NYK,26
Derrick White,BOS,59
Desmond Bane,MEM,35
Devin Booker,PHX,32
Devin Vassell,SAS,29
Devon Dotson,WAS,5
Devonte' Graham,NOP,53
Devonte' Graham,SAS,4
Dewayne Dedmon,MIA,30
Dillon Brooks,MEM,52
Domantas Sabonis,SAC,55
Dominick Barlow,SAS,10
Donovan Mitchell,CLE,50
Donte DiVincenzo,GSW,48
Dorian Finney-Smith,BKN,4
Dorian Finney-Smith,DAL,40
Doug McDermott,SAS,51
Draymond Green,GSW,52
Drew Eubanks,POR,56
Dru Smith,BKN,3
Dru Smith,MIA,5
Duane Washington Jr.,PHX,30
Duncan Robinson,MIA,29
Dwight Powell,DAL,55
Dyson Daniels,NOP,38
Edmond Sumner,BKN,46
Eric Gordon,HOU,47
Eric Gordon,LAC,1
Eugene Omoruyi,OKC,23
Evan Fournier,NYK,23
Evan Mobley,CLE,59
Facundo Campazzo,DAL,6
Frank Kaminsky,ATL,22
Frank Kaminsky,HOU,2
Frank Ntilikina,DAL,34
Franz Wagner,ORL,58
Fred VanVleet,TOR,50
Furkan Korkmaz,PHI,23
Gabe Vincent,MIA,45
Garrett Temple,NOP,16
Garrison Mathews,ATL,1
Garrison Mathews,HOU,45
Gary Harris,ORL,30
Gary Payton II,POR,15
Gary Trent Jr.,TOR,50
George Hill,IND,1
George Hill,MIL,34
Georges Niang,PHI,55
Giannis Antetokounmpo,MIL,46
Goga Bitadze,IND,21
Goran Dragic,CHI,51
Gordon Hayward,CHA,34
Gorgui Dieng,SAS,17
Grant Williams,BOS,58
Grayson Allen,MIL,53
Greg Brown III,POR,14
Hamidou Diallo,DET,50
Harrison Barnes,SAC,57
Haywood Highsmith,MIA,40
Herbert Jones,NOP,43
Immanuel Quickley,NYK,59
Isaac Okoro,CLE,61
Isaiah Hartenstein,NYK,60
Isaiah Jackson,IND,45
Isaiah Joe,OKC,47
Isaiah Livers,DET,37
Isaiah Mobley,CLE,6
Isaiah Roby,SAS,42
Isaiah Stewart,DET,48
Isaiah Todd,WAS,3
Ish Smith,DEN,28
Ish Wainright,PHX,41
Ivica Zubac,LAC,58
JD Davison,BOS,5
JT Thor,CHA,46
Ja Morant,MEM,48
JaMychal Green,GSW,38
JaVale McGee,DAL,36
Jabari Smith Jr.,HOU,55
Jabari Walker,POR,34
Jack White,DEN,10
Jaden Hardy,DAL,30
Jaden Ivey,DET,55
Jaden McDaniels,MIN,57
Jaden Springer,PHI,7
Jae'Sean Tate,HOU,20
Jake LaRavia,MEM,28
Jakob Poeltl,SAS,46
Jakob Poeltl,TOR,3
Jalen Brunson,NYK,56
Jalen Duren,DET,51
Jalen Green,HOU,54
Jalen Johnson,ATL,54
Jalen McDaniels,CHA,56
Jalen McDaniels,PHI,3
Jalen Smith,IND,51
Jalen Suggs,ORL,34
Jalen Williams,OKC,53
Jamal Cain,MIA,13
Jamal Murray,DEN,45
Jamaree Bouyea,MIA,4
James Bouknight,CHA,25
James Harden,PHI,41
James Johnson,IND,11
James Wiseman,DET,1
James Wiseman,GSW,21
Jared Rhoden,DET,1
Jaren Jackson Jr.,MEM,40
Jarred Vanderbilt,LAL,3
Jarred Vanderbilt,UTA,52
Jarrett Allen,CLE,54
Jarrett Culver,ATL,9
Jason Preston,LAC,12
Javonte Green,CHI,28
Jaxson Hayes,NOP,33
Jaylen Brown,BOS,48
Jaylen Nowell,MIN,60
Jaylin Williams,OKC,25
Jayson Tatum,BOS,55
Jeff Dowtin Jr.,TOR,12
Jeff Green,DEN,37
Jerami Grant,POR,54
Jeremiah Robinson-Earl,OKC,28
Jeremy Sochan,SAS,48
Jericho Sims,NYK,46
Jevon Carter,MIL,57
Jimmy Butler,MIA,44
Jock Landale,PHX,50
Joe Harris,BKN,51
Joe Ingles,MIL,24
Joe Wieskamp,TOR,2
Joel Embiid,PHI,45
John Butler Jr.,POR,5
John Collins,ATL,50
John Konchar,MEM,49
John Wall,LAC,34
Johnny Davis,WAS,12
Jonas Valanciunas,NOP,58
Jonathan Isaac,ORL,10
Jonathan Kuminga,GSW,46
Jordan Clarkson,UTA,58
Jordan Goodwin,WAS,40
Jordan Hall,SAS,8
Jordan McLaughlin,MIN,23
Jordan Nwora,IND,2
Jordan Nwora,MIL,38
Jordan Poole,GSW,58
Jordan Schakel,WAS,1
Jose Alvarado,NOP,58
Josh Christopher,HOU,40
Josh Giddey,OKC,52
Josh Green,DAL,40
Josh Hart,NYK,3
Josh Hart,POR,51
Josh Minott,MIN,9
Josh Okogie,PHX,49
Josh Richardson,NOP,2
Josh Richardson,SAS,42
Joshua Primo,SAS,4
Jrue Holiday,MIL,46
Juan Toscano-Anderson,LAL,29
Juan Toscano-Anderson,UTA,1
Juancho Hernangomez,TOR,41
Julian Champagnie,PHI,2
Julius Randle,NYK,60
Justin Champagnie,TOR,3
Justin Holiday,ATL,27
Justin Jackson,BOS,19
Justise Winslow,POR,29
Jusuf Nurkic,POR,45
KZ Okpala,SAC,29
Kai Jones,CHA,23
Karl-Anthony Towns,MIN,21
Kawhi Leonard,LAC,33
Keegan Murray,SAC,55
Keita Bates-Diop,SAS,44
Keldon Johnson,SAS,52
Kelly Olynyk,UTA,48
Kelly Oubre Jr.,CHA,35
Kemba Walker,DAL,9
Kendall Brown,IND,6
Kendrick Nunn,LAL,38
Kendrick Nunn,WAS,10
Kennedy Chandler,MEM,21
Kenneth Lofton Jr.,MEM,7
Kenrich Williams,OKC,49
Kentavious Caldwell-Pope,DEN,56
Kenyon Martin Jr.,HOU,58
Keon Ellis,SAC,8
Keon Johnson,POR,28
Kessler Edwards,BKN,11
Kessler Edwards,SAC,1
Kevin Durant,BKN,39
Kevin Huerter,SAC,54
Kevin Knox II,DET,42
Kevin Knox II,POR,2
Kevin Love,CLE,41
Kevin Porter Jr.,HOU,40
Kevon Harris,ORL,27
Kevon Looney,GSW,58
Khem Birch,TOR,19
Khris Middleton,MIL,17
Killian Hayes,DET,55
Kira Lewis Jr.,NOP,14
Klay Thompson,GSW,46
Kristaps Porzingis,WAS,49
Kyle Anderson,MIN,47
Kyle Kuzma,WAS,52
Kyle Lowry,MIA,44
Kyrie Irving,BKN,40
Kyrie Irving,DAL,4
LaMelo Ball,CHA,33
Lamar Stevens,CLE,40
Landry Shamet,PHX,30
Larry Nance Jr.,NOP,48
Lauri Markkanen,UTA,54
LeBron James,LAL,45
Leandro Bolmaro,UTA,12
Lindy Waters III,OKC,23
Lonnie Walker IV,LAL,42
Luguentz Dort,OKC,50
Luka Doncic,DAL,50
Luka Garza,MIN,21
Luke Kennard,LAC,35
Luke Kennard,MEM,2
Luke Kornet,BOS,51
Malachi Flynn,TOR,42
Malaki Branham,SAS,45
Malcolm Brogdon,BOS,50
Malcolm Hill,CHI,1
Malik Beasley,LAL,3
Malik Beasley,UTA,55
Malik Monk,SAC,54
Mamadi Diakite,CLE,13
MarJon Beauchamp,MIL,36
Marcus Morris Sr.,LAC,52
Marcus Smart,BOS,42
Mark Williams,CHA,28
Markelle Fultz,ORL,38
Markieff Morris,BKN,27
Marko Simonovic,CHI,1
Marvin Bagley III,DET,25
Mason Plumlee,CHA,56
Mason Plumlee,LAC,1
Matisse Thybulle,PHI,48
Matisse Thybulle,POR,2
Matt Ryan,LAL,12
Matt Ryan,MIN,14
Matthew Dellavedova,SAC,17
Max Christie,LAL,32
Max Strus,MIA,57
Maxi Kleber,DAL,22
McKinley Wright IV,DAL,18
Mfiondu Kabengele,BOS,2
Micah Potter,UTA,2
Michael Porter Jr.,DEN,42
Mikal Bridges,BKN,3
Mikal Bridges,PHX,56
Mike Conley,MIN,2
Mike Conley,UTA,43
Mike Muscala,BOS,3
Mike Muscala,OKC,43
Miles McBride,NYK,44
Mitchell Robinson,NYK,38
Mo Bamba,LAL,1
Mo Bamba,ORL,39
Monte Morris,WAS,49
Montrezl Harrell,PHI,50
Moritz Wagner,ORL,38
Moses Brown,LAC,32
Moses Moody,GSW,43
Moussa Diabate,LAC,14
Myles Turner,IND,50
Naji Marshall,NOP,54
Nassir Little,POR,37
Nathan Knight,MIN,30
Naz Reid,MIN,52
Neemias Queta,SAC,4
Nerlens Noel,DET,14
Nic Claxton,BKN,54
Nick Richards,CHA,44
Nickeil Alexander-Walker,MIN,1
Nickeil Alexander-Walker,UTA,34
Nicolas Batum,LAC,56
Nikola Jokic,DEN,51
Nikola Jovic,MIA,13
Nikola Vucevic,CHI,58
Noah Vonleh,BOS,19
Norman Powell,LAC,50
O.G. Anunoby,TOR,45
Obi Toppin,NYK,45
Ochai Agbaji,UTA,34
Onyeka Okongwu,ATL,57
Orlando Robinson,MIA,29
Oshae Brissett,IND,49
Otto Porter Jr.,TOR,8
Ousmane Dieng,OKC,19
P.J. Tucker,PHI,55
P.J. Washington,CHA,59
PJ Dozier,SAC,3
Paolo Banchero,ORL,52
Pascal Siakam,TOR,49
Pat Connaughton,MIL,41
Patrick Baldwin Jr.,GSW,13
Patrick Beverley,LAL,45
Patrick Williams,CHI,58
Patty Mills,BKN,36
Paul George,LAC,43
Paul Reed,PHI,42
Payton Pritchard,BOS,41
Peyton Watson,DEN,9
Precious Achiuwa,TOR,35
Quentin Grimes,NYK,49
Quenton Jackson,WAS,3
R.J. Hampton,ORL,24
RJ Barrett,NYK,53
Raul Neto,CLE,35
Reggie Bullock,DAL,58
Reggie Jackson,LAC,52
Richaun Holmes,SAC,29
Ricky Rubio,CLE,14
Robert Covington,LAC,36
Robert Williams III,BOS,23
Robin Lopez,CLE,28
Rodney McGruder,DET,20
Romeo Langford,SAS,31
Ron Harper Jr.,TOR,3
Royce O'Neale,BKN,55
Rudy Gay,UTA,44
Rudy Gobert,MIN,49
Rui Hachimura,LAL,11
Rui Hachimura,WAS,30
Russell Westbrook,LAL,52
Ryan Arcidiacono,NYK,7
Ryan Arcidiacono,POR,1
Ryan Rollins,GSW,11
Saben Lee,PHI,2
Saben Lee,PHX,17
Saddiq Bey,ATL,2
Saddiq Bey,DET,52
Sam Hauser,BOS,56
Sandro Mamukelashvili,MIL,23
Santi Aldama,MEM,54
Scottie Barnes,TOR,56
Scotty Pippen Jr.,LAL,6
Serge Ibaka,MIL,16
Seth Curry,BKN,40
Shaedon Sharpe,POR,57
Shai Gilgeous-Alexander,OKC,53
Shake Milton,PHI,53
Simone Fontecchio,UTA,27
Spencer Dinwiddie,BKN,4
Spencer Dinwiddie,DAL,53
Stanley Johnson,SAS,30
Stanley Umude,DET,1
Stephen Curry,GSW,38
Sterling Brown,LAL,4
Steven Adams,MEM,42
Svi Mykhailiuk,CHA,1
Svi Mykhailiuk,NYK,9
T.J. McConnell,IND,57
T.J. Warren,BKN,26
T.J. Warren,PHX,1
Taj Gibson,WAS,36
Talen Horton-Tucker,UTA,45
Tari Eason,HOU,58
Taurean Prince,MIN,36
Terance Mann,LAC,59
Terence Davis,SAC,43
Terrence Ross,ORL,42
Terry Rozier,CHA,49
Terry Taylor,IND,21
Thaddeus Young,TOR,47
Thanasis Antetokounmpo,MIL,16
Theo Maledon,CHA,36
Theo Pinson,DAL,28
Thomas Bryant,DEN,3
Thomas Bryant,LAL,41
Tim Hardaway Jr.,DAL,54
Tobias Harris,PHI,53
Tony Bradley,CHI,11
Torrey Craig,PHX,56
Trae Young,ATL,52
Tre Jones,SAS,52
Tre Mann,OKC,51
Trendon Watford,POR,42
Trent Forrest,ATL,15
Trevelin Queen,IND,7
Trevor Hudgins,HOU,4
Trevor Keels,NYK,1
Trey Lyles,SAC,51
Trey Murphy III,NOP,56
Troy Brown Jr.,LAL,53
Ty Jerome,GSW,35
TyTy Washington Jr.,HOU,23
Tyler Dorsey,DAL,2
Tyler Herro,MIA,45
Tyrese Haliburton,IND,48
Tyrese Martin,ATL,9
Tyrese Maxey,PHI,38
Tyus Jones,MEM,57
Udoka Azubuike,UTA,21
Udonis Haslem,MIA,6
Usman Garuba,HOU,51
Vernon Carey Jr.,WAS,9
Victor Oladipo,MIA,26
Vince Williams Jr.,MEM,7
Vit Krejci,ATL,15
Vlatko Cancar,DEN,43
Walker Kessler,UTA,57
Wendell Carter Jr.,ORL,39
Wendell Moore Jr.,MIN,22
Wenyen Gabriel,LAL,45
Wesley Matthews,MIL,37
Will Barton,WAS,39
Willy Hernangomez,NOP,29
Xavier Tillman,MEM,36
Yuta Watanabe,BKN,43
Zach Collins,SAS,48
Zach LaVine,CHI,54
Zeke Nnaji,DEN,42
Ziaire Williams,MEM,27
Zion Williamson,NOP,29
